GEOID,tract_name,county,population,median_household_income,poverty_rate,renter_rate,no_vehicle_rate,multifamily_share,rent_burdened_share,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,public_ev_station_count,public_dc_fast_station_count,public_dc_fast_port_count,nearest_public_ev_station_miles,solar_proxy_municipality,municipal_solar_project_count,municipal_residential_solar_project_count,municipal_solar_capacity_dc_mw,doe_lead_join_status
25009250100,Census Tract 2501,Essex,5295.0,44310.0,0.2375764525993883,1.0,0.268112798264642,1.0,0.544468546637744,0.9812,0.9291,0.99,0.9475,0.8958,2,0,0,0.225,LAWRENCE,1455,1384,18.827804,not_available
25009250500,Census Tract 2505,Essex,4464.0,61339.0,0.1981941309255079,0.8116731517509728,0.1984435797665369,0.8430769230769231,0.5369127516778524,0.9341,0.9906,0.9127,0.9831,0.5593,0,0,0,0.433,LAWRENCE,1455,1384,18.827804,not_available
25009250900,Census Tract 2509,Essex,2384.0,42250.0,0.2983870967741935,0.8556085918854416,0.3329355608591885,0.789289871944121,0.602510460251046,0.9774,0.9944,0.9881,0.9981,0.6955,0,0,0,0.289,LAWRENCE,1455,1384,18.827804,not_available
25009266200,Census Tract 2662,Essex,5305.0,97759.0,0.0582804385458742,0.3285340314136126,0.119109947643979,0.4418604651162791,0.7569721115537849,0.5926,0.494,0.5989,0.1799,0.7363,3,0,0,0.89,AMESBURY,452,424,15.530798,not_available
25009266300,Census Tract 2663,Essex,3953.0,129044.0,0.0697554697554697,0.3164908384230983,0.0449750138811771,0.4742489270386266,0.519298245614035,0.6277,0.4865,0.5568,0.3042,0.8267,8,1,10,0.768,AMESBURY,452,424,15.530798,not_available
25009260100,Census Tract 2601,Essex,5551.0,44384.0,0.3661103047895501,0.8866103739445115,0.2565339766787294,0.929228591648974,0.6875283446712018,0.9849,0.9812,0.9586,0.862,0.9303,4,0,0,0.306,HAVERHILL,1112,1071,29.966203999999998,not_available
25009268100,Census Tract 2681,Essex,2671.0,250001.0,0.0569075252714339,0.0136986301369863,0.0379346680716543,0.0031612223393045,1.0,0.037,0.0389,0.2611,0.2804,0.0596,0,0,0,1.458,NEWBURYPORT,397,373,5.166621,not_available
25025010405,Census Tract 104.05,Suffolk,6924.0,28125.0,0.4302809573361082,0.8820960698689956,0.6670305676855895,0.9911417322834646,0.5160891089108911,0.8468,0.8606,0.2724,0.8382,0.9711,2,0,0,0.212,BOSTON,4471,4197,71.531141,not_available
25025110403,Census Tract 1104.03,Suffolk,4969.0,132069.0,0.0476286988244831,0.2788353863381859,0.1002239641657334,0.397288842544317,0.2891566265060241,0.5148,0.4024,0.5217,0.7683,0.4721,0,0,0,0.68,BOSTON,4471,4197,71.531141,not_available
25025120600,Census Tract 1206,Suffolk,2402.0,152727.0,0.0328892589508742,0.5476603119584056,0.2487001733102253,0.8195918367346938,0.3401898734177215,0.0414,0.0232,0.0546,0.6109,0.2756,2,0,0,0.186,BOSTON,4471,4197,71.531141,not_available
25025040401,Census Tract 404.01,Suffolk,2882.0,168883.0,0.0428370786516853,0.507587253414264,0.1934749620637329,0.7573099415204678,0.3497757847533632,0.639,0.2712,0.8562,0.5034,0.7878,0,0,0,0.221,BOSTON,4471,4197,71.531141,not_available
