ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
25,Massachusetts,MA,25001,Barnstable County,25001010100,Census Tract 101; Barnstable County; Massachusetts,9.670394090032,3630,43,4905,309,1996,193,799,280,196,105,606,170,112,80,96,77,1029,210,300,202,753,176,17,21,124,122,736,251,341,154,0,14,10,21,245,137,20,3,22.3,7.8,8.7,4.7,30.4,8.0,3.5,2.6,2.7,2.1,28.3,5.8,8.3,5.6,20.8,4.8,0.9,1.0,3.5,3.5,20.3,6.9,7.0,3.1,0.0,0.9,0.5,1.1,12.3,6.5,0.6,0.1,0.7439,0.8344,0.6667,0.3008,0.5919,3.1377,0.7006,0.9282,0.0706,0.9294,0.1067,0.6059,2.6408,0.5832,0.4116,0.4116,0.4116,0.4193,0.0,0.3227,0.6642,0.5034,1.9096,0.408,8.0997,0.6095,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3699,338,172,27,28,419,269,80,78,29,46,0,14,158,113,23,42,16.9,7.9,0.7,0.8,11.5,7.4,2.2,2.2,0.8,1.3,0.0,1.2,4.4,3.1,0.6,1.2
25,Massachusetts,MA,25001,Barnstable County,25001010206,Census Tract 102.06; Barnstable County; Massachusetts,19.784216288412,4352,333,4862,270,1975,231,451,312,22,22,435,143,37,42,129,105,1396,289,635,273,427,122,54,60,0,56,595,479,29,45,201,122,0,19,151,94,18,3,10.4,7.2,1.1,1.1,22.0,6.8,1.0,1.1,3.0,2.4,32.1,6.9,14.6,5.9,9.8,2.9,2.7,3.0,0.0,1.3,13.7,11.0,0.6,0.9,4.1,2.5,0.0,1.0,7.6,4.6,0.4,0.1,0.4039,0.0506,0.4137,0.0682,0.6525,1.5889,0.2536,0.9656,0.213,0.3663,0.3082,0.0,1.8531,0.1808,0.2711,0.2711,0.2711,0.1262,0.9466,0.0,0.5104,0.4116,1.9948,0.4457,5.7079,0.2473,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2495,122,93,11,13,53,72,36,46,0,14,0,14,427,348,68,74,6.2,4.5,0.3,0.3,1.2,1.6,0.8,1.1,0.0,1.0,0.0,1.0,9.8,7.6,1.6,1.7
25,Massachusetts,MA,25001,Barnstable County,25001010208,Census Tract 102.08; Barnstable County; Massachusetts,20.953315769822,1627,332,3449,238,1031,243,206,152,22,37,211,133,30,46,0,14,813,199,47,47,179,135,17,22,0,56,1,469,34,38,107,66,0,19,48,58,5,2,12.7,9.0,2.8,4.6,20.5,12.0,2.0,3.0,0.0,2.6,50.0,10.5,2.9,2.9,11.0,8.6,1.6,2.1,0.0,3.4,0.1,28.8,1.0,1.1,3.1,1.9,0.0,1.8,4.7,5.5,0.3,0.1,0.5078,0.2387,0.354,0.1476,0.0,1.2481,0.1488,0.9975,0.0244,0.4744,0.1814,0.0,1.6777,0.1312,0.0012,0.0012,0.0012,0.1613,0.9297,0.0,0.339,0.3504,1.7804,0.3578,4.7074,0.1105,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1507,67,77,0,14,1,3,0,14,0,14,0,14,0,14,0,14,6.5,7.6,0.0,2.6,0.1,0.2,0.0,2.6,0.0,2.6,0.0,2.6,0.0,2.6,0.0,2.6
25,Massachusetts,MA,25001,Barnstable County,25001010304,Census Tract 103.04; Barnstable County; Massachusetts,7.084123433906,2739,315,2935,208,1363,222,187,146,91,73,302,127,26,26,70,64,1073,265,272,105,428,174,33,40,14,58,242,426,0,19,0,14,15,17,12,18,2,2,6.8,5.3,6.7,5.6,22.2,8.6,1.1,1.1,2.6,2.4,39.2,9.2,9.9,3.6,15.6,6.5,2.5,2.9,0.5,2.1,8.8,15.5,0.0,0.6,0.0,1.4,1.1,1.2,0.9,1.3,0.1,0.1,0.2173,0.7256,0.4193,0.0738,0.5775,2.0135,0.3836,0.985,0.0962,0.7744,0.2881,0.1999,2.3436,0.42,0.1349,0.1349,0.1349,0.0,0.0,0.4702,0.0603,0.1868,0.7173,0.054,5.2093,0.1745,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1352,144,139,0,14,10,17,102,79,0,14,0,14,130,94,0,14,10.6,9.4,0.0,1.5,0.4,0.6,3.7,2.8,0.0,1.5,0.0,1.5,4.7,3.4,0.0,1.5
25,Massachusetts,MA,25001,Barnstable County,25001010306,Census Tract 103.06; Barnstable County; Massachusetts,6.88353842558,2985,312,3458,191,1361,172,516,305,133,91,416,163,183,111,36,31,1131,285,406,150,224,104,126,82,70,83,380,500,0,19,0,14,0,19,29,27,0,14,17.3,10.1,10.0,6.9,30.6,11.3,7.5,4.7,1.2,1.1,37.9,8.5,13.6,4.6,7.5,3.4,9.2,5.9,2.4,2.9,12.7,16.7,0.0,0.5,0.0,1.2,0.0,1.4,2.1,2.0,0.0,0.5,0.6493,0.8881,0.6717,0.5816,0.2888,3.0795,0.6886,0.9819,0.1749,0.1888,0.8079,0.5141,2.6676,0.5926,0.2455,0.2455,0.2455,0.0,0.0,0.0,0.1438,0.0,0.1438,0.0056,6.1364,0.3239,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3245,143,88,223,248,0,14,18,27,10,17,0,14,129,125,0,14,10.5,6.4,7.5,8.2,0.0,1.4,0.6,0.9,0.3,0.6,0.0,1.4,4.3,4.2,0.0,1.4
25,Massachusetts,MA,25001,Barnstable County,25001010400,Census Tract 104; Barnstable County; Massachusetts,6.01820855369,3342,421,2736,212,1587,178,590,261,0,14,470,187,30,37,0,14,1614,451,443,125,428,157,62,61,13,58,168,603,342,95,0,14,37,43,110,56,81,5,17.8,7.6,0.0,3.1,29.6,11.3,1.1,1.3,0.0,1.3,48.3,9.3,13.3,4.2,12.9,4.7,3.9,3.8,0.4,1.8,5.0,18.0,12.5,3.3,0.0,1.5,2.3,2.7,6.9,3.5,2.4,0.3,0.6656,0.0,0.6466,0.0738,0.0,1.386,0.189,0.9969,0.1643,0.6312,0.4463,0.1693,2.408,0.4583,0.0406,0.0406,0.0406,0.5662,0.0,0.6585,0.4777,0.7633,2.4657,0.639,6.3003,0.3503,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5720,61,43,10,16,71,84,53,70,0,14,0,14,34,44,0,14,3.8,2.7,0.3,0.5,2.1,2.5,1.6,2.2,0.0,1.3,0.0,1.3,1.0,1.3,0.0,1.3
25,Massachusetts,MA,25001,Barnstable County,25001010500,Census Tract 105; Barnstable County; Massachusetts,8.145278448666,2980,422,3208,272,1417,227,297,193,82,93,377,149,13,16,27,43,1340,372,371,121,471,206,0,19,17,54,38,597,77,66,0,14,0,19,45,32,15,2,10.0,6.3,5.8,6.2,26.6,9.6,0.5,0.7,0.9,1.4,45.0,9.1,12.4,3.7,15.8,6.3,0.0,1.3,0.6,1.8,1.3,20.0,2.4,2.0,0.0,1.3,0.0,1.3,3.2,2.3,0.5,0.1,0.3889,0.6469,0.5512,0.0375,0.2112,1.8357,0.3321,0.9931,0.1455,0.785,0.0,0.2236,2.1472,0.3164,0.0025,0.0025,0.0025,0.2392,0.0,0.0,0.2392,0.4628,0.9412,0.0992,4.9266,0.1331,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2068,34,31,3,9,29,32,6,11,0,14,0,14,0,14,0,14,2.4,2.2,0.1,0.3,1.0,1.1,0.2,0.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4
25,Massachusetts,MA,25001,Barnstable County,25001010600,Census Tract 106; Barnstable County; Massachusetts,5.673751129308,3247,281,3044,199,1589,151,355,181,75,50,466,141,59,75,24,28,1666,237,301,180,609,169,85,81,6,53,123,404,67,33,26,44,0,19,90,53,152,5,11.5,5.7,5.5,3.6,29.3,8.4,2.2,2.8,0.8,0.9,51.3,7.6,9.3,5.0,19.6,5.3,5.4,5.1,0.2,1.7,3.8,12.4,2.2,1.1,0.9,1.4,0.0,1.2,5.7,3.3,4.7,0.4,0.4559,0.6075,0.6365,0.1664,0.19,2.0563,0.398,0.9981,0.0849,0.9056,0.5882,0.1124,2.6892,0.6039,0.0244,0.0244,0.0244,0.2266,0.8493,0.0,0.4055,0.8745,2.3559,0.5989,7.1258,0.4727,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,4234,184,73,20,24,29,36,0,14,0,14,0,14,74,84,0,14,11.6,4.3,0.6,0.8,0.9,1.1,0.0,1.3,0.0,1.3,0.0,1.3,2.3,2.6,0.0,1.3
25,Massachusetts,MA,25001,Barnstable County,25001010700,Census Tract 107; Barnstable County; Massachusetts,10.496742331798,3360,277,4485,251,1700,179,450,256,59,64,364,143,34,32,14,24,1556,250,342,139,479,160,85,76,0,56,414,402,22,38,0,14,73,73,53,39,17,14,13.5,7.6,4.4,4.7,21.4,8.1,1.2,1.1,0.4,0.7,46.3,6.3,10.2,3.9,14.3,4.7,5.0,4.4,0.0,1.7,12.3,11.9,0.5,0.8,0.0,0.9,4.3,4.3,3.1,2.3,0.5,0.4,0.5391,0.4575,0.3836,0.0807,0.0975,1.5584,0.2467,0.9938,0.1012,0.7137,0.5549,0.0,2.3636,0.4319,0.2336,0.2336,0.2336,0.1161,0.0,0.8355,0.2298,0.4628,1.6442,0.307,5.7998,0.2643,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3049,114,110,14,24,72,83,162,189,0,14,0,14,166,137,0,14,6.7,6.2,0.4,0.7,2.1,2.5,4.8,5.6,0.0,1.3,0.0,1.3,4.9,4.0,0.0,1.3
25,Massachusetts,MA,25001,Barnstable County,25001010800,Census Tract 108; Barnstable County; Massachusetts,10.961053925122,4987,550,3900,270,2266,236,400,240,363,321,639,205,40,34,114,97,1871,245,710,222,516,149,48,56,0,56,217,771,211,99,29,44,0,19,142,106,78,7,8.1,4.8,14.7,11.5,28.2,8.6,1.0,0.8,2.3,1.9,37.5,4.8,14.2,3.7,10.5,3.0,2.2,2.5,0.0,1.1,4.4,15.5,5.4,2.5,0.7,1.1,0.0,0.8,6.3,4.6,1.6,0.2,0.2924,0.9663,0.6026,0.0682,0.525,2.4545,0.5204,0.9813,0.1974,0.4344,0.2467,0.0,1.8598,0.1846,0.0319,0.0319,0.0319,0.3566,0.8267,0.0,0.447,0.6821,2.3124,0.575,6.6586,0.4055,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4333,250,155,21,24,53,90,0,14,0,14,0,14,143,91,0,14,11.0,6.5,0.4,0.5,1.1,1.8,0.0,0.8,0.0,0.8,0.0,0.8,2.9,1.9,0.0,0.8
25,Massachusetts,MA,25001,Barnstable County,25001010900,Census Tract 109; Barnstable County; Massachusetts,11.979551618718,5354,552,4289,325,2306,292,490,299,50,47,537,200,142,119,124,113,1857,279,757,237,723,269,0,26,7,74,432,770,229,144,0,19,107,109,143,125,161,13,9.5,5.7,1.9,1.9,23.3,8.2,3.3,2.7,2.4,2.2,34.7,5.5,14.1,4.0,13.9,5.0,0.0,1.1,0.1,1.4,8.1,14.4,5.3,3.3,0.0,1.0,4.7,4.7,6.2,5.3,3.0,0.4,0.3663,0.125,0.4601,0.2789,0.5394,1.7697,0.3082,0.9731,0.1918,0.6963,0.0,0.0949,1.9561,0.2228,0.1162,0.1162,0.1162,0.354,0.0,0.8569,0.4394,0.8039,2.4542,0.634,6.2962,0.349,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3307,124,118,59,96,228,150,31,43,0,19,0,19,93,101,21,42,5.4,4.9,1.1,1.8,4.3,2.7,0.6,0.8,0.0,0.8,0.0,0.8,1.7,1.9,0.4,0.8
