B01003001,B03002001,B03002002,B03002003,B03002004,B03002005,B03002006,B03002007,B03002008,B03002009,B03002010,B03002011,B03002012,B03002013,B03002014,B03002015,B03002016,B03002017,B03002018,B03002019,B03002020,B03002021,B17001001,B17001002,B17001003,B17001004,B17001005,B17001006,B17001007,B17001008,B17001009,B17001010,B17001011,B17001012,B17001013,B17001014,B17001015,B17001016,B17001017,B17001018,B17001019,B17001020,B17001021,B17001022,B17001023,B17001024,B17001025,B17001026,B17001027,B17001028,B17001029,B17001030,B17001031,B17001032,B17001033,B17001034,B17001035,B17001036,B17001037,B17001038,B17001039,B17001040,B17001041,B17001042,B17001043,B17001044,B17001045,B17001046,B17001047,B17001048,B17001049,B17001050,B17001051,B17001052,B17001053,B17001054,B17001055,B17001056,B17001057,B17001058,B17001059,B19013001,B25003001,B25003002,B25003003,B25024001,B25024002,B25024003,B25024004,B25024005,B25024006,B25024007,B25024008,B25024009,B25024010,B25024011,B25044001,B25044002,B25044003,B25044004,B25044005,B25044006,B25044007,B25044008,B25044009,B25044010,B25044011,B25044012,B25044013,B25044014,B25044015,B25070001,B25070002,B25070003,B25070004,B25070005,B25070006,B25070007,B25070008,B25070009,B25070010,B25070011,GEOID,hispanic_or_latino_share,median_household_income,multifamily_share,no_vehicle_rate,non_hispanic_asian_share,non_hispanic_black_share,non_hispanic_white_share,owner_occupied_rate,population,poverty_rate,rent_burdened_share,renter_rate,single_family_share
3325.0,3325.0,3294.0,3006.0,64.0,0.0,63.0,0.0,10.0,151.0,99.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,3281.0,292.0,140.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,58.0,13.0,0.0,25.0,20.0,0.0,152.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,0.0,34.0,21.0,37.0,2989.0,1386.0,78.0,0.0,71.0,20.0,21.0,12.0,112.0,91.0,138.0,142.0,281.0,273.0,147.0,1603.0,25.0,3.0,50.0,9.0,24.0,17.0,32.0,71.0,93.0,194.0,424.0,517.0,144.0,112762.0,1589.0,1253.0,336.0,1814.0,1280.0,62.0,151.0,127.0,74.0,65.0,22.0,33.0,0.0,0.0,1589.0,1253.0,25.0,488.0,490.0,190.0,60.0,0.0,336.0,9.0,208.0,92.0,21.0,6.0,0.0,336.0,0.0,16.0,24.0,47.0,67.0,27.0,9.0,38.0,103.0,5.0,25009201100,0.009323308270676692,112762.0,0.26019845644983464,0.021397105097545627,0.018947368421052633,0.01924812030075188,0.9040601503759399,0.788546255506608,3325.0,0.08899725693386162,0.5267857142857143,0.21145374449339208,0.7398015435501654
2279.0,2279.0,2080.0,1969.0,51.0,0.0,11.0,0.0,0.0,49.0,19.0,30.0,199.0,157.0,0.0,6.0,0.0,0.0,6.0,30.0,6.0,24.0,2273.0,157.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,12.0,26.0,0.0,7.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,0.0,37.0,2116.0,1028.0,38.0,6.0,62.0,57.0,17.0,11.0,104.0,52.0,133.0,174.0,185.0,111.0,78.0,1088.0,40.0,9.0,92.0,71.0,38.0,12.0,68.0,91.0,144.0,174.0,125.0,154.0,70.0,114120.0,871.0,662.0,209.0,914.0,577.0,29.0,188.0,50.0,6.0,6.0,21.0,37.0,0.0,0.0,871.0,662.0,12.0,128.0,342.0,158.0,22.0,0.0,209.0,57.0,97.0,51.0,4.0,0.0,0.0,209.0,0.0,0.0,9.0,25.0,14.0,19.0,25.0,31.0,81.0,5.0,25009202101,0.08731899956121106,114120.0,0.33698030634573306,0.07921928817451206,0.004826678367705134,0.022378236068451074,0.863975427819219,0.7600459242250287,2279.0,0.06907171139463264,0.7464114832535885,0.2399540757749713,0.6630196936542669
1547.0,1547.0,1388.0,1283.0,0.0,0.0,87.0,0.0,0.0,18.0,0.0,18.0,159.0,0.0,0.0,0.0,0.0,0.0,50.0,109.0,98.0,11.0,1547.0,343.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,68.0,0.0,21.0,0.0,0.0,242.0,126.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,0.0,0.0,21.0,0.0,0.0,1204.0,552.0,47.0,6.0,31.0,14.0,7.0,14.0,55.0,60.0,75.0,100.0,75.0,43.0,25.0,652.0,42.0,21.0,43.0,39.0,0.0,20.0,41.0,85.0,112.0,85.0,64.0,77.0,23.0,77708.0,561.0,451.0,110.0,665.0,424.0,68.0,36.0,117.0,12.0,0.0,8.0,0.0,0.0,0.0,561.0,451.0,31.0,98.0,202.0,115.0,5.0,0.0,110.0,12.0,45.0,47.0,6.0,0.0,0.0,110.0,0.0,0.0,28.0,8.0,9.0,0.0,0.0,0.0,65.0,0.0,25009202103,0.10277957336780866,77708.0,0.26015037593984963,0.0766488413547237,0.05623787976729153,0.0,0.8293471234647706,0.803921568627451,1547.0,0.22171945701357465,0.5909090909090909,0.19607843137254902,0.7398496240601504
5195.0,5195.0,4682.0,4115.0,325.0,0.0,72.0,0.0,54.0,116.0,39.0,77.0,513.0,462.0,0.0,20.0,0.0,0.0,0.0,31.0,17.0,14.0,5076.0,392.0,192.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,66.0,63.0,200.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,37.0,49.0,0.0,55.0,12.0,11.0,4684.0,2140.0,165.0,61.0,154.0,0.0,36.0,22.0,90.0,268.0,428.0,312.0,236.0,255.0,113.0,2544.0,40.0,44.0,112.0,42.0,0.0,69.0,110.0,559.0,265.0,381.0,286.0,279.0,357.0,109455.0,2423.0,1585.0,838.0,2438.0,672.0,158.0,577.0,80.0,118.0,33.0,182.0,618.0,0.0,0.0,2423.0,1585.0,0.0,703.0,492.0,371.0,19.0,0.0,838.0,158.0,364.0,295.0,21.0,0.0,0.0,838.0,21.0,49.0,25.0,88.0,128.0,204.0,33.0,16.0,253.0,21.0,25009202104,0.0987487969201155,109455.0,0.6595570139458573,0.06520841931489889,0.013859480269489894,0.06256015399422522,0.7921077959576516,0.6541477507222452,5195.0,0.07722616233254531,0.60381861575179,0.3458522492777549,0.34044298605414275
6256.0,6256.0,5767.0,5479.0,129.0,0.0,0.0,0.0,0.0,159.0,113.0,46.0,489.0,130.0,0.0,18.0,0.0,0.0,34.0,307.0,307.0,0.0,6235.0,178.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,20.0,0.0,0.0,28.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,6057.0,2846.0,178.0,13.0,189.0,193.0,47.0,48.0,149.0,169.0,352.0,439.0,527.0,334.0,208.0,3211.0,191.0,35.0,370.0,54.0,9.0,27.0,311.0,176.0,375.0,561.0,492.0,352.0,258.0,213000.0,2300.0,1971.0,329.0,2576.0,1795.0,98.0,321.0,176.0,16.0,33.0,64.0,73.0,0.0,0.0,2300.0,1971.0,16.0,524.0,1085.0,190.0,101.0,55.0,329.0,61.0,147.0,99.0,0.0,0.0,22.0,329.0,0.0,0.0,96.0,37.0,85.0,31.0,47.0,19.0,0.0,14.0,25009202200,0.07816496163682865,213000.0,0.265139751552795,0.033478260869565214,0.0,0.020620204603580564,0.8757992327365729,0.8569565217391304,6256.0,0.02854851643945469,0.2948328267477204,0.14304347826086958,0.734860248447205
7303.0,7303.0,7210.0,6974.0,0.0,0.0,166.0,0.0,0.0,70.0,54.0,16.0,93.0,17.0,0.0,12.0,0.0,0.0,0.0,64.0,64.0,0.0,7208.0,222.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,24.0,0.0,16.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.0,53.0,41.0,6986.0,3356.0,98.0,20.0,218.0,306.0,0.0,234.0,214.0,205.0,392.0,652.0,491.0,253.0,273.0,3630.0,139.0,128.0,310.0,192.0,26.0,108.0,181.0,285.0,517.0,552.0,558.0,318.0,316.0,235962.0,2614.0,2492.0,122.0,2631.0,2505.0,43.0,67.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,2614.0,2492.0,26.0,549.0,1384.0,294.0,209.0,30.0,122.0,43.0,32.0,36.0,11.0,0.0,0.0,122.0,0.0,8.0,10.0,44.0,0.0,0.0,0.0,8.0,16.0,36.0,25009203100,0.012734492674243461,235962.0,0.031546940326871914,0.026396327467482786,0.022730384773380803,0.0,0.9549500205395043,0.9533282325937261,7303.0,0.030799112097669258,0.19672131147540983,0.046671767406273906,0.9684530596731281
4673.0,4673.0,4542.0,4284.0,7.0,0.0,34.0,0.0,49.0,168.0,63.0,105.0,131.0,0.0,0.0,0.0,0.0,0.0,96.0,35.0,0.0,35.0,4673.0,206.0,66.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,10.0,19.0,0.0,140.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,14.0,0.0,22.0,32.0,0.0,48.0,4467.0,2137.0,65.0,39.0,140.0,109.0,99.0,119.0,148.0,105.0,172.0,314.0,295.0,348.0,184.0,2330.0,64.0,15.0,176.0,106.0,9.0,102.0,190.0,153.0,185.0,374.0,378.0,364.0,214.0,184200.0,1914.0,1581.0,333.0,2101.0,1929.0,25.0,20.0,88.0,9.0,0.0,20.0,10.0,0.0,0.0,1914.0,1581.0,11.0,293.0,751.0,372.0,154.0,0.0,333.0,59.0,181.0,93.0,0.0,0.0,0.0,333.0,17.0,34.0,23.0,9.0,40.0,10.0,35.0,11.0,119.0,35.0,25009203200,0.028033383265568156,184200.0,0.06996668253212755,0.03657262277951933,0.007275839931521507,0.001497967044725016,0.9167558313717098,0.8260188087774295,4673.0,0.04408303017333619,0.5255255255255256,0.17398119122257052,0.9300333174678724
4311.0,4311.0,4232.0,3920.0,1.0,0.0,77.0,0.0,16.0,218.0,168.0,50.0,79.0,9.0,0.0,0.0,0.0,0.0,9.0,61.0,61.0,0.0,4311.0,173.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,149.0,0.0,0.0,22.0,0.0,11.0,0.0,13.0,0.0,33.0,11.0,40.0,10.0,9.0,4138.0,1926.0,85.0,0.0,110.0,113.0,34.0,90.0,86.0,104.0,256.0,283.0,337.0,274.0,154.0,2212.0,90.0,26.0,117.0,130.0,54.0,136.0,79.0,70.0,219.0,441.0,462.0,297.0,91.0,137166.0,1843.0,1394.0,449.0,1969.0,1189.0,121.0,196.0,359.0,91.0,13.0,0.0,0.0,0.0,0.0,1843.0,1394.0,22.0,356.0,847.0,135.0,34.0,0.0,449.0,54.0,297.0,98.0,0.0,0.0,0.0,449.0,64.0,71.0,65.0,32.0,22.0,33.0,10.0,41.0,65.0,46.0,25009203301,0.018325214567385756,137166.0,0.33468765871000505,0.041237113402061855,0.017861285084667132,0.00023196474135931338,0.9093017861285084,0.7563754747693977,4311.0,0.040129900255161215,0.33184855233853006,0.24362452523060227,0.665312341289995
4126.0,4126.0,4014.0,3813.0,110.0,73.0,18.0,0.0,0.0,0.0,0.0,0.0,112.0,20.0,0.0,0.0,0.0,0.0,0.0,92.0,81.0,11.0,4126.0,289.0,142.0,0.0,0.0,0.0,17.0,19.0,0.0,19.0,0.0,0.0,0.0,46.0,27.0,14.0,147.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,87.0,0.0,3837.0,1875.0,72.0,0.0,74.0,68.0,0.0,38.0,67.0,188.0,253.0,159.0,358.0,377.0,221.0,1962.0,134.0,0.0,23.0,122.0,49.0,21.0,113.0,227.0,233.0,200.0,328.0,296.0,216.0,162935.0,1918.0,1594.0,324.0,2394.0,1368.0,142.0,177.0,256.0,242.0,158.0,26.0,0.0,0.0,25.0,1918.0,1594.0,47.0,478.0,693.0,352.0,0.0,24.0,324.0,38.0,255.0,21.0,0.0,10.0,0.0,324.0,41.0,27.0,9.0,28.0,12.0,12.0,40.0,12.0,133.0,10.0,25009203302,0.02714493456131847,162935.0,0.3588137009189641,0.0443169968717414,0.004362578768783325,0.02666020358700921,0.924139602520601,0.8310740354535975,4126.0,0.07004362578768783,0.6080246913580247,0.1689259645464025,0.6307435254803676
4862.0,4862.0,4245.0,3793.0,156.0,0.0,157.0,0.0,0.0,139.0,35.0,104.0,617.0,166.0,5.0,0.0,0.0,0.0,148.0,298.0,190.0,108.0,4471.0,522.0,170.0,0.0,0.0,0.0,62.0,17.0,0.0,0.0,16.0,0.0,3.0,45.0,27.0,0.0,352.0,16.0,0.0,57.0,0.0,17.0,0.0,70.0,52.0,31.0,81.0,18.0,1.0,9.0,3949.0,1787.0,61.0,8.0,58.0,36.0,23.0,62.0,90.0,377.0,371.0,277.0,220.0,125.0,79.0,2162.0,43.0,0.0,55.0,82.0,37.0,10.0,279.0,359.0,295.0,469.0,170.0,232.0,131.0,100649.0,2004.0,1061.0,943.0,2028.0,432.0,70.0,537.0,798.0,50.0,83.0,58.0,0.0,0.0,0.0,2004.0,1061.0,18.0,395.0,544.0,104.0,0.0,0.0,943.0,173.0,340.0,372.0,58.0,0.0,0.0,943.0,14.0,76.0,75.0,205.0,192.0,64.0,31.0,59.0,206.0,21.0,25009204101,0.12690250925545044,100649.0,0.752465483234714,0.09530938123752496,0.032291238173591114,0.03208556149732621,0.7801316330728095,0.529441117764471,4862.0,0.11675240438380675,0.38176033934252385,0.47055888223552894,0.24753451676528598
