town_key,solar_project_count,solar_capacity_dc_kw,estimated_annual_production_kwh,residential_solar_project_count,solar_capacity_dc_mw
ABINGTON,335,5424.993,6308725.498398,321,5.424993000000001
ACTON,720,17895.219,20877469.935335,669,17.895219
AMESBURY,452,15530.798,18435365.24541,424,15.530798
ANDOVER,687,14501.91,17056519.939153343,648,14.50191
ARLINGTON,1251,9807.252,11357486.860261,1205,9.807252
ASHBY,201,4481.1359999999995,5460074.057012,193,4.481135999999999
ASHLAND,654,21932.476,25587508.591371346,620,21.932475999999998
AVON,118,3668.782,4185404.738234,109,3.668782
AYER,309,13371.172999999999,16331161.702243477,287,13.371172999999999
BEDFORD,440,6459.873,7056398.070536,387,6.459873
BELLINGHAM,795,26585.994,31023469.267291002,766,26.585994
BELMONT,310,2124.495,2486806.0,303,2.124495
BEVERLY,1056,26101.655,30181044.49649742,998,26.101654999999997
BILLERICA,1051,28144.817,32888652.462636363,1015,28.144817
BOSTON,4471,71531.141,83355100.57584324,4197,71.531141
BOXBOROUGH,32,5257.934,6890233.0,31,5.2579340000000006
BOXFORD,163,2592.446,2975638.0118899997,152,2.592446
BRAINTREE,30,6382.543,7743365.0,20,6.382543
BRIDGEWATER,581,16123.117,19527452.37945824,548,16.123117
BROCKTON,2369,29462.186,32788793.551845882,2299,29.462186000000003
BROOKLINE,294,3542.596,4184265.757671108,277,3.542596
BURLINGTON,730,9770.748,10752724.387028115,703,9.770748
CAMBRIDGE,881,10190.912,12120203.031381,803,10.190912
CANTON,481,27718.98699999999,31256113.917518,430,27.71898699999999
CARLISLE,234,3036.791,3411448.7001207,229,3.036791
CARVER,331,72490.523,87653749.520316,292,72.490523
CHELMSFORD,828,15156.638,16599326.93815807,785,15.156638000000001
CHELSEA,256,8125.04999999999,5941083.385296617,237,8.125049999999991
COHASSET,87,1366.31,1656825.330352,83,1.36631
CONCORD,344,11286.854,13286480.87,322,11.286854
DANVERS,56,4930.6320000000005,5795155.0,42,4.930632
DEDHAM,478,9047.157,10020273.268942,454,9.047156999999999
DOVER,153,3632.092,4235778.946568,145,3.632092
DRACUT,1064,9837.447,10344786.74503315,1045,9.837447000000001
DUNSTABLE,141,13089.614999999998,15680785.295260001,138,13.089614999999998
DUXBURY,244,3545.866,3992132.0479800003,234,3.545866
EASTBRIDGEWATER,440,11866.664999999999,14180998.584712,422,11.866665
ESSEX,139,1257.374,1388343.43628,134,1.257374
EVERETT,716,16963.893,12396147.32,695,16.963893
FOXBOROUGH,245,8405.213,10170943.719912,223,8.405213
FRAMINGHAM,1991,38134.805,43114103.29998076,1886,38.134805
FRANKLIN,627,25624.93899999999,26009715.560294975,585,25.62493899999999
GEORGETOWN,9,56.173,58352.88654545454,9,0.056173
GLOUCESTER,861,7946.339,9015482.280511,817,7.946339
GROTON,33,3239.931,4157333.0,29,3.239931
GROVELAND,15,3768.552,4317575.0,13,3.768552
HALIFAX,207,17892.661,21464508.277217,198,17.892661
HAMILTON,190,3284.415,3825111.5875,176,3.284415
HANOVER,220,4371.382,4922147.60941,206,4.371382
HANSON,226,1910.463,2038495.30116,223,1.910463
HAVERHILL,1112,29966.203999999998,36445685.99581808,1071,29.966203999999998
HINGHAM,63,2314.06,2339732.0,58,2.31406
HOLBROOK,328,2973.6150000000002,3043123.3403,324,2.973615
HOLLISTON,511,27746.281,31544818.017660882,469,27.746281
HOPKINTON,669,24412.47,29486207.040324,627,24.412470000000003
HUDSON,36,6911.9,8487196.0,31,6.911899999999999
HULL,38,245.846,306957.0,38,0.245846
IPSWICH,116,1798.31,2168122.0,106,1.7983099999999999
KINGSTON,479,17648.714,19974054.697079796,433,17.648714
LAKEVILLE,68,3949.93,4111216.0,64,3.9499299999999997
LAWRENCE,1455,18827.804,20713002.463747,1384,18.827804
LEXINGTON,978,19113.634,22123247.408201,927,19.113633999999998
LINCOLN,248,3355.764,3640461.6328488183,232,3.355764
LITTLETON,45,6951.957,8466933.0,38,6.951957
LOWELL,1560,17496.131,18973959.337628726,1490,17.496131000000002
LYNN,2005,16419.474,17690776.42402215,1957,16.419473999999997
LYNNFIELD,14,128.18,147714.0,14,0.12818000000000002
MALDEN,871,7827.632,8890715.1534,849,7.8276319999999995
MARBLEHEAD,46,389.088,457641.0,43,0.38908800000000004
MARION,250,4702.481,5839919.258874677,231,4.702481
MARLBOROUGH,863,16707.269,19587712.625945,800,16.707269
MARSHFIELD,582,11321.784,13570904.695156094,560,11.321784
MATTAPOISETT,327,20476.449,24356345.707685,305,20.476449
MAYNARD,395,4646.1630000000005,5201994.76023,381,4.6461630000000005
MEDFIELD,232,3911.661,4317770.500627,222,3.911661
MEDFORD,902,8082.967,9286496.373265,867,8.082967
MEDWAY,494,6999.026,7605365.592477,469,6.999026
MELROSE,523,4321.62,4971392.643534727,500,4.32162
MERRIMAC,7,1822.28,2160803.0,6,1.82228
METHUEN,1661,22574.887,24777694.452031,1635,22.574887
MIDDLEBOROUGH,45,8938.309,11394602.0,31,8.938308999999999
MIDDLETON,15,6174.855,7757919.0,13,6.174855
MILLIS,207,5448.327,6331789.707979,195,5.448327
MILTON,523,6355.667,6346231.290464,500,6.355667
NAHANT,107,665.505,749254.92488,106,0.665505
NATICK,1149,22722.972,25856656.379914,1069,22.722972000000002
NEEDHAM,819,14545.003,16751842.983716017,786,14.545003000000001
NEWBURY,244,7269.926,9085202.94613,232,7.269926000000001
NEWBURYPORT,397,5166.621,5790123.866012827,373,5.166621
NEWTON,1445,21226.114,24163664.09140018,1369,21.226114000000003
NORFOLK,301,9108.581,10625969.39554421,281,9.108581000000001
NORTHANDOVER,495,12527.313,13992867.124590632,457,12.527313
NORTHREADING,34,1791.834,2117611.0,26,1.7918340000000001
NORWELL,138,3826.214,4241590.0,116,3.826214
NORWOOD,6,895.39,1059675.0,4,0.89539
PEABODY,31,1313.2189999999998,1519150.0,26,1.313219
PEMBROKE,322,12786.413,13172592.56463,300,12.786413
PEPPERELL,380,5730.523,6506187.721953958,370,5.730523
PLAINVILLE,184,15555.844000000001,18830335.067038,171,15.555844
PLYMOUTH,1588,53683.165,64941666.06345398,1483,53.683165
PLYMPTON,106,32968.505,41918138.450793,94,32.968505
QUINCY,928,10740.924,12703880.78812713,875,10.740924000000001
RANDOLPH,1202,14941.883,16525753.433526862,1182,14.941883
READING,32,226.448,271705.0,32,0.226448
REVERE,1329,11942.451,13877672.116906,1289,11.942450999999998
ROCHESTER,269,20686.685999999998,25223490.820707273,256,20.686685999999998
ROCKLAND,351,6195.281,6922092.808673,338,6.195281
ROCKPORT,256,1848.236,2059642.12229,252,1.8482360000000002
ROWLEY,23,2789.306,3053751.757818182,21,2.789306
SALEM,864,9384.780999999999,10261725.029482858,811,9.384780999999998
SALISBURY,317,9698.074,12286429.464322714,303,9.698074
SAUGUS,931,9766.101,11100966.279305499,906,9.766101
SCITUATE,310,5647.893,6968217.2242600005,299,5.647893
SHARON,585,8283.499,8723517.230904,560,8.283498999999999
