FIPS,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,svi_e_totpop,svi_ep_pov150,svi_ep_unemp,svi_ep_nohsdp,svi_ep_uninsur,svi_ep_age65,svi_ep_limeng,svi_ep_minrty,svi_ep_munit,svi_ep_mobile,svi_ep_noveh,svi_ep_groupq
25009201100,0.1839,0.2844,0.2021,0.0531,0.2957,3336,10.6,4.2,2.4,1.0,31.6,0.1,5.8,6.8,0.0,1.5,1.5
25009202101,0.4696,0.3302,0.6365,0.3254,0.5248,2292,6.4,3.1,6.1,1.5,19.0,0.9,16.0,10.3,0.0,11.8,0.6
25009202103,0.2254,0.6798,0.1802,0.0987,0.0389,1541,20.2,5.5,4.8,2.7,11.0,4.4,7.3,0.0,0.0,9.5,0.0
25009202104,0.6259,0.5957,0.4394,0.2517,0.7985,5021,21.9,9.8,1.8,0.7,22.5,1.3,12.9,35.1,0.0,10.5,2.2
25009202200,0.0427,0.113,0.1745,0.2517,0.0565,6354,5.2,2.6,3.1,0.9,19.6,0.4,12.9,2.7,0.0,3.8,0.1
25009203100,0.0672,0.1099,0.3515,0.0762,0.1086,7116,5.7,3.1,0.4,2.0,16.7,1.6,6.6,1.7,0.0,1.8,1.5
25009203200,0.0251,0.0239,0.4407,0.1611,0.0195,4586,5.6,0.4,1.5,0.8,24.9,0.2,9.6,2.6,0.0,1.8,0.0
25009203301,0.0521,0.1011,0.2812,0.0369,0.0929,4302,7.2,2.5,1.5,1.2,20.7,0.1,4.7,0.5,0.0,6.0,0.0
25009203302,0.1714,0.2988,0.5857,0.1299,0.049,4346,7.2,7.3,0.0,1.5,30.0,1.4,8.5,3.6,0.0,5.1,0.0
25009204101,0.6604,0.7433,0.4143,0.4197,0.6359,4905,19.5,8.2,3.1,5.3,12.8,2.4,20.9,6.2,0.0,9.1,9.0
25009204102,0.5964,0.3641,0.678,0.5503,0.7194,5025,16.2,2.1,2.5,1.0,22.3,0.9,29.0,17.8,0.0,7.2,16.3
25009204200,0.7489,0.8092,0.2429,0.6515,0.8449,5177,17.5,8.8,11.0,2.5,13.7,3.5,35.9,17.8,0.0,25.1,1.0
25009204300,0.9567,0.8996,0.9592,0.8607,0.8801,4299,37.9,7.1,21.3,3.0,17.3,15.1,60.2,26.3,0.0,40.2,1.4
25009204400,0.5863,0.6943,0.6095,0.2904,0.3622,3353,15.4,6.6,9.1,1.5,25.0,6.9,14.6,13.8,0.0,20.1,0.4
25009204500,0.376,0.4388,0.0841,0.3092,0.6673,3514,10.7,3.1,3.1,2.3,12.4,1.0,15.2,34.7,0.0,15.7,0.4
